parent,child
Art,Humanities
Art,Literature
Art,Aesthetics
Art,Classics
Art,Art history
Art,Visual arts
Biology,Agroforestry
Biology,Anatomy
Biology,Cancer research
Biology,Biophysics
Biology,Bioinformatics
Biology,Physiology
Biology,Zoology
Biology,Horticulture
Biology,Genetics
Biology,Microbiology
Biology,Astrobiology
Biology,Fishery
Biology,Evolutionary biology
Biology,Biochemistry
Biology,Pharmacology
Biology,Molecular biology
Biology,Ecology
Biology,Animal science
Biology,Biotechnology
Biology,Cell biology
Biology,Neuroscience
Biology,Endocrinology
Biology,Computational biology
Biology,Virology
Biology,Immunology
Biology,Agronomy
Biology,Paleontology
Biology,Agricultural science
Biology,Biological system
Biology,Toxicology
Biology,Food science
Biology,Botany
Geology,Petrology
Geology,Geodesy
Geology,Soil science
Geology,Seismology
Geology,Geotechnical engineering
Geology,Atmospheric sciences
Geology,Oceanography
Geology,Climatology
Geology,Mining engineering
Geology,Paleontology
Geology,Geophysics
Geology,Hydrology
Geology,Earth science
Geology,Geochemistry
Geology,Remote sensing
Geology,Geomorphology
Geology,Mineralogy
Geology,Petroleum engineering
History,Ancient history
History,Classics
History,Genealogy
History,Economic history
History,Art history
History,Ethnology
History,Archaeology
Physics,Astronomy
Physics,Optics
Physics,Astrobiology
Physics,Quantum electrodynamics
Physics,Acoustics
Physics,Meteorology
Physics,Nuclear magnetic resonance
Physics,Molecular physics
Physics,Theoretical physics
Physics,Atomic physics
Physics,Optoelectronics
Physics,Quantum mechanics
Physics,Engineering physics
Physics,Computational physics
Physics,Statistical physics
Physics,Particle physics
Physics,Mechanics
Physics,Thermodynamics
Physics,Nuclear physics
Physics,Classical mechanics
Physics,Mathematical physics
Physics,Medical physics
Physics,Atmospheric sciences
Physics,Condensed matter physics
Physics,Chemical physics
Physics,Astrophysics
Physics,Geophysics
Business,Industrial organization
Business,Finance
Business,Business administration
Business,Marketing
Business,Advertising
Business,International trade
Business,Commerce
Business,Process management
Business,Actuarial science
Business,Risk analysis (engineering)
Business,Financial system
Business,Economic policy
Business,Accounting
Medicine,Surgery
Medicine,Anatomy
Medicine,Dentistry
Medicine,Endocrinology
Medicine,Medical education
Medicine,Gerontology
Medicine,Pediatrics
Medicine,Urology
Medicine,Clinical psychology
Medicine,Cancer research
Medicine,Oncology
Medicine,Radiology
Medicine,Pathology
Medicine,Immunology
Medicine,Dermatology
Medicine,Family medicine
Medicine,Virology
Medicine,Traditional medicine
Medicine,Intensive care medicine
Medicine,Obstetrics
Medicine,Ophthalmology
Medicine,Gastroenterology
Medicine,Psychiatry
Medicine,Physiology
Medicine,Medical physics
Medicine,Physical medicine and rehabilitation
Medicine,Biomedical engineering
Medicine,Gynecology
Medicine,General surgery
Medicine,Physical therapy
Medicine,Audiology
Medicine,Anesthesia
Medicine,Environmental health
Medicine,Medical emergency
Medicine,Risk analysis (engineering)
Medicine,Optometry
Medicine,Veterinary medicine
Medicine,Cardiology
Medicine,Andrology
Medicine,Pharmacology
Medicine,Nuclear medicine
Medicine,Internal medicine
Medicine,Orthodontics
Medicine,Nursing
Medicine,Emergency medicine
Chemistry,Analytical chemistry
Chemistry,Biochemistry
Chemistry,Polymer chemistry
Chemistry,Food science
Chemistry,Physical chemistry
Chemistry,Mineralogy
Chemistry,Organic chemistry
Chemistry,Inorganic chemistry
Chemistry,Nuclear chemistry
Chemistry,Stereochemistry
Chemistry,Chemical physics
Chemistry,Molecular physics
Chemistry,Polymer science
Chemistry,Combinatorial chemistry
Chemistry,Chromatography
Chemistry,Computational chemistry
Chemistry,Photochemistry
Chemistry,Radiochemistry
Chemistry,Crystallography
Chemistry,Medicinal chemistry
Chemistry,Environmental chemistry
Economics,Macroeconomics
Economics,Agricultural economics
Economics,Political economy
Economics,Market economy
Economics,Economic history
Economics,Economic policy
Economics,Economy
Economics,Monetary economics
Economics,Industrial organization
Economics,Economic system
Economics,Neoclassical economics
Economics,Commerce
Economics,Welfare economics
Economics,Development economics
Economics,Finance
Economics,Classical economics
Economics,Financial economics
Economics,Positive economics
Economics,Econometrics
Economics,Management science
Economics,Labour economics
Economics,International economics
Economics,Accounting
Economics,Law and economics
Economics,Microeconomics
Economics,Socioeconomics
Economics,Actuarial science
Economics,Operations management
Economics,Environmental economics
Economics,International trade
Economics,Management
Economics,Keynesian economics
Economics,Natural resource economics
Economics,Environmental resource management
