name,alias
100 credit,bairong
100 credit,bairong beijing financial information services co ltd
100 credit,百融金服
100 credit,百融金融信息服务股份有限公司
100 credit,bairong jinfu
100 credit,百融云创
100 credit,100credit
100 credit,"bairong, inc."
100 credit,"bairong financial information services co., ltd."
17zuoye,一起作业
17zuoye,一起教育科技
17zuoye,yiqi jiaoyu keji
17zuoye,yiqi zuoye
17zuoye,17zuoye corporation
17zuoye,langkoo inc
4thparadigm,第四范式
4thparadigm,disi fanshi
4thparadigm,第四范式（北京）技术有限公司
4thparadigm,"beijing wusi chuangxiang technology co., ltd."
4thparadigm,shenzhen qianhai fourth paradigm data technology co ltd
4thparadigm,4paradigm
4thparadigm,fourth paradigm
abc technology,阿博茨科技
abc technology,aboci keji
abc technology,北京阿博茨科技有限公司
abc technology,"beijing abc fintech co., ltd."
abc technology,abc fintech
abc technology,beijing abc technology co ltd
abeja,abeja inc
abeja,"abeja, inc."
adobe,adobe corp
adobe,adobe inc.
adobe,adobe inc
adobe,adobe corp.
adobe,adobe systems
adobe,adobe corporation
aeye,"aeye, inc."
affectiva,"affectiva, inc."
affectiva,affectiva emotion ai
affectiva,affectiva inc
agari data,"agari data, inc."
agari data,agari
agari data,agari data inc
ahi fintech,ahi fintech
ahi fintech,hui'an jinke
ahi fintech,"hui'an jinke (beijing) technology co., ltd."
ahi fintech,慧安金科
ahi fintech,慧安金科（北京）科技有限公司
ahi fintech,hui'an jinke (ahi fintech)
ahi fintech,huian jinke beijing technology co ltd
ai foundation,ai foundation nonprofit
ai foundation,ai foundation's 503c nonprofit
ai.reverie,"ai.reverie, inc."
aibee,aibee beijing intelligent technology co ltd
aibee,aibee inc.
aifi,aifi inc.
aira,aira tech corp
aira,aira tech
airdoc,beijing tulip partnership technology co ltd
aisimba,小狮科技
aisimba,xiaoshi keji
aisimba,武汉小狮科技有限公司
aisimba,"wuhan xiaoshi technology co., ltd."
aisimba,xiaoshi technology
aispeech,aispeech
aispeech,suzhou aispeech information technology co ltd
aispeech,迈外迪
aispeech,"思必驰, 苏州思必驰信息科技有限公司"
aispeech,sibichi
aispeech,"aispeech company, ltd."
aiways,爱驰汽车
aiways,aichi qiche
aiways,爱驰汽车有限公司
aiways,aiways automobile co ltd
algorithmia,algorithmia inc
algorithmia,"algorithmia, inc"
algorithmia,algorithmia inc.
alibaba,阿里巴巴集团
alibaba,alibaba group holding ltd
alibaba,alibaba
alibaba,alibaba group
alibaba,阿里
alibaba,阿里巴巴集团控股有限公司
alibaba,alibaba group holding limited
allcure medical,beijing allcure medical technology
allcure medical,"beijing allcure medical technology co.,ltd."
amazon,amazon
amazon,amazon.com
amazon,amazon 
amazon,amazon.com inc
anduril industries,anduril
anduril industries,"anduril industries, inc."
anodot,anodot ltd
appier,appier.com
appier,appier inc.
apple,apple computer
apple,"apple, inc."
apple,apple inc
apple,apple inc.
applitools,applitools ltd.
applitools,"applitools, inc"
appzen,app zen
appzen,"appzen, inc."
appzen,appzen inc
area 1 security,"area 1 security, inc."
area 1 security,area 1 security inc
armorblox,armorblox inc
armorblox,"armorblox, inc."
arterys,morpheus medical
arterys,"arterys, inc."
atomwise,"atomwise, inc."
aurora innovation,aurora innovation inc
aurora innovation,"aurora innovation, inc."
aurora innovation,aurora
automation anywhere,"automation anywhere, inc."
baidu,百度
baidu,baidu inc
baifendian,baifendian
baifendian,百分点
baifendian,北京百分点信息科技有限公司
baifendian,percent
baifendian,percent corporation
baifendian,beijing baifendian information technology co ltd
behavox,behavox ltd
behavox,behavox limited
benson hill biosystems,"benson hill, inc."
benson hill biosystems,benson hill
bigpanda,bigpanda inc
